sequence,review_case_id,rule_id,question_id,language,input_format
1,review-case-f6802f8efd87a54dedee,CAP-CHAIN-001,question:review-case-f6802f8efd87a54dedee:CAP-CHAIN-001,zh,json
2,review-case-f5379b8fd04acd18f3ab,CAP-CHAIN-001,question:review-case-f5379b8fd04acd18f3ab:CAP-CHAIN-001,en,manifest
3,review-case-e86bbe30e3ee05f90364,CAP-CHAIN-001,question:review-case-e86bbe30e3ee05f90364:CAP-CHAIN-001,zh,yaml
4,review-case-f66b609179b823e411a5,CAP-CHAIN-001,question:review-case-f66b609179b823e411a5:CAP-CHAIN-001,en,markdown
5,review-case-538d26e339f9f158fc6a,CAP-CHAIN-001,question:review-case-538d26e339f9f158fc6a:CAP-CHAIN-001,bilingual,toml
6,review-case-779ef1a2b669f19850c2,CAP-CHAIN-001,question:review-case-779ef1a2b669f19850c2:CAP-CHAIN-001,en,json
7,review-case-2249fc3afc6776e5c877,CAP-CHAIN-001,question:review-case-2249fc3afc6776e5c877:CAP-CHAIN-001,zh,manifest
8,review-case-789f1b7b0d4316c2ba29,CAP-CHAIN-001,question:review-case-789f1b7b0d4316c2ba29:CAP-CHAIN-001,en,yaml
9,review-case-dce8660339f28e773c58,CAP-CHAIN-001,question:review-case-dce8660339f28e773c58:CAP-CHAIN-001,zh,markdown
10,review-case-8e27a7950c28998926f3,CAP-CHAIN-001,question:review-case-8e27a7950c28998926f3:CAP-CHAIN-001,bilingual,toml
11,review-case-30f35a946e1d25c530d7,CAP-CHAIN-001,question:review-case-30f35a946e1d25c530d7:CAP-CHAIN-001,zh,json
12,review-case-d945358c8696e2cbafb3,CAP-CHAIN-001,question:review-case-d945358c8696e2cbafb3:CAP-CHAIN-001,en,manifest
13,review-case-d618b1fc0b034446716e,CAP-CHAIN-001,question:review-case-d618b1fc0b034446716e:CAP-CHAIN-001,en,markdown
14,review-case-cee899072ebe62cdc070,CAP-CHAIN-001,question:review-case-cee899072ebe62cdc070:CAP-CHAIN-001,bilingual,toml
15,review-case-144897be68699497310e,CAP-CHAIN-001,question:review-case-144897be68699497310e:CAP-CHAIN-001,en,json
16,review-case-d4bfce732a4d1322f407,CAP-CHAIN-001,question:review-case-d4bfce732a4d1322f407:CAP-CHAIN-001,zh,manifest
17,review-case-b25567a6001cfd78bd11,CAP-CHAIN-001,question:review-case-b25567a6001cfd78bd11:CAP-CHAIN-001,en,yaml
18,review-case-4ae9892231f6f1184214,CAP-CHAIN-001,question:review-case-4ae9892231f6f1184214:CAP-CHAIN-001,zh,markdown
19,review-case-d35b8832bcc4078c8418,CAP-CHAIN-001,question:review-case-d35b8832bcc4078c8418:CAP-CHAIN-001,bilingual,toml
20,review-case-3ee41000015a4bbbebd2,CAP-CHAIN-001,question:review-case-3ee41000015a4bbbebd2:CAP-CHAIN-001,zh,json
21,review-case-54b5ea23eef5c59a6f67,CAP-CHAIN-001,question:review-case-54b5ea23eef5c59a6f67:CAP-CHAIN-001,zh,manifest
22,review-case-ebf2dbdf96d1321f4b78,CAP-CHAIN-001,question:review-case-ebf2dbdf96d1321f4b78:CAP-CHAIN-001,en,manifest
23,review-case-f07ce82ea1cc80dc0654,CAP-CHAIN-001,question:review-case-f07ce82ea1cc80dc0654:CAP-CHAIN-001,en,markdown
24,review-case-b7aca38c6669a743088d,CAP-CHAIN-001,question:review-case-b7aca38c6669a743088d:CAP-CHAIN-001,bilingual,toml
25,review-case-4934a357278a2bae5e40,CAP-CHAIN-001,question:review-case-4934a357278a2bae5e40:CAP-CHAIN-001,en,markdown
26,review-case-5db83bb2029f3bfc3a61,CAP-CHAIN-001,question:review-case-5db83bb2029f3bfc3a61:CAP-CHAIN-001,en,json
27,review-case-00ae928f46d9cf409d26,CAP-CHAIN-001,question:review-case-00ae928f46d9cf409d26:CAP-CHAIN-001,zh,manifest
28,review-case-71ca600abea3b9c1ab89,CAP-CHAIN-001,question:review-case-71ca600abea3b9c1ab89:CAP-CHAIN-001,bilingual,yaml
29,review-case-e7d09ded7ee8bd050fa3,CAP-CHAIN-001,question:review-case-e7d09ded7ee8bd050fa3:CAP-CHAIN-001,en,toml
30,review-case-ee81efa9a591a74c2820,CAP-CHAIN-001,question:review-case-ee81efa9a591a74c2820:CAP-CHAIN-001,zh,json
31,review-case-e9254f57e24f42237c8a,CAP-CHAIN-001,question:review-case-e9254f57e24f42237c8a:CAP-CHAIN-001,en,manifest
32,review-case-5ab82f461824f821505b,CAP-CHAIN-001,question:review-case-5ab82f461824f821505b:CAP-CHAIN-001,bilingual,yaml
33,review-case-be2c93e14bd68bde17cf,CAP-CHAIN-001,question:review-case-be2c93e14bd68bde17cf:CAP-CHAIN-001,en,markdown
34,review-case-63ad8b6f1347ecb10b4d,CAP-CHAIN-001,question:review-case-63ad8b6f1347ecb10b4d:CAP-CHAIN-001,en,json
35,review-case-9ab94822fa5f070b89c7,CAP-CHAIN-001,question:review-case-9ab94822fa5f070b89c7:CAP-CHAIN-001,zh,manifest
36,review-case-cd72f50cf70ed7c35d40,CAP-CHAIN-001,question:review-case-cd72f50cf70ed7c35d40:CAP-CHAIN-001,bilingual,yaml
37,review-case-618d9b4c58c484258529,CAP-CHAIN-001,question:review-case-618d9b4c58c484258529:CAP-CHAIN-001,en,toml
38,review-case-fd52db965a0e631b55e4,CAP-CHAIN-001,question:review-case-fd52db965a0e631b55e4:CAP-CHAIN-001,zh,json
39,review-case-c5d64066eb407dd3a640,CAP-CHAIN-001,question:review-case-c5d64066eb407dd3a640:CAP-CHAIN-001,en,manifest
40,review-case-52e493ee1749268e7954,CAP-CHAIN-001,question:review-case-52e493ee1749268e7954:CAP-CHAIN-001,bilingual,yaml
41,review-case-f17862ac0efea6dd624b,CAP-CHAIN-001,question:review-case-f17862ac0efea6dd624b:CAP-CHAIN-001,en,markdown
42,review-case-685066e8291eeb5abdb6,CAP-CHAIN-001,question:review-case-685066e8291eeb5abdb6:CAP-CHAIN-001,en,json
43,review-case-3188b4b1964f4b3d8e7f,CAP-CHAIN-001,question:review-case-3188b4b1964f4b3d8e7f:CAP-CHAIN-001,bilingual,yaml
44,review-case-4f2e9c701faec7353c83,CAP-CHAIN-001,question:review-case-4f2e9c701faec7353c83:CAP-CHAIN-001,en,manifest
45,review-case-e570e45e330fbdc965f8,CAP-APPROVAL-001,question:review-case-e570e45e330fbdc965f8:CAP-APPROVAL-001,bilingual,json
46,review-case-f3cae0a6a36d8754b219,CAP-APPROVAL-001,question:review-case-f3cae0a6a36d8754b219:CAP-APPROVAL-001,zh,manifest
47,review-case-65321f3c2c92269bcb86,CAP-AUTONETWORK-001,question:review-case-65321f3c2c92269bcb86:CAP-AUTONETWORK-001,en,manifest
48,review-case-409fa40d01b35bf9cdd0,CAP-AUTONETWORK-001,question:review-case-409fa40d01b35bf9cdd0:CAP-AUTONETWORK-001,zh,manifest
49,review-case-b3ab2f54b74a2ccb8b76,CAP-AUTOPROD-001,question:review-case-b3ab2f54b74a2ccb8b76:CAP-AUTOPROD-001,zh,manifest
50,review-case-8248f2aba8405fac1a90,CAP-AUTOPROD-001,question:review-case-8248f2aba8405fac1a90:CAP-AUTOPROD-001,en,manifest
51,review-case-85a10ef29760a720f3a4,CAP-AUTOSECRET-001,question:review-case-85a10ef29760a720f3a4:CAP-AUTOSECRET-001,en,manifest
52,review-case-5b39bbfc4169f7f269fe,CAP-AUTOSECRET-001,question:review-case-5b39bbfc4169f7f269fe:CAP-AUTOSECRET-001,zh,manifest
53,review-case-2d0c4c62057c19457bae,CAP-COVERAGE-001,question:review-case-2d0c4c62057c19457bae:CAP-COVERAGE-001,en,json
54,review-case-b132e4199fb3cc636f5d,CAP-COVERAGE-001,question:review-case-b132e4199fb3cc636f5d:CAP-COVERAGE-001,en,manifest
55,review-case-50900ea15f0e1288496e,CAP-DELEGATE-001,question:review-case-50900ea15f0e1288496e:CAP-DELEGATE-001,zh,manifest
56,review-case-86803896c64c05e5b806,CAP-DELEGATE-001,question:review-case-86803896c64c05e5b806:CAP-DELEGATE-001,en,manifest
57,review-case-86b938a2bd49e52b5232,CAP-DELEGATEEXTERNAL-001,question:review-case-86b938a2bd49e52b5232:CAP-DELEGATEEXTERNAL-001,en,manifest
58,review-case-68fa4aefef5b079e9250,CAP-DELEGATEEXTERNAL-001,question:review-case-68fa4aefef5b079e9250:CAP-DELEGATEEXTERNAL-001,zh,manifest
59,review-case-1bb646709f904c47d240,CAP-DELEGATEPERSIST-001,question:review-case-1bb646709f904c47d240:CAP-DELEGATEPERSIST-001,zh,manifest
60,review-case-bbef2002301a60b50cb4,CAP-DELEGATEPERSIST-001,question:review-case-bbef2002301a60b50cb4:CAP-DELEGATEPERSIST-001,en,manifest
61,review-case-97c4b7c302cd3dad2e92,CAP-EXTERNAL-001,question:review-case-97c4b7c302cd3dad2e92:CAP-EXTERNAL-001,en,manifest
62,review-case-7fcab950e70af7f2b078,CAP-EXTERNAL-001,question:review-case-7fcab950e70af7f2b078:CAP-EXTERNAL-001,zh,manifest
63,review-case-fe11e5c0b3438ccc0c5c,CAP-EXTERNALEXEC-001,question:review-case-fe11e5c0b3438ccc0c5c:CAP-EXTERNALEXEC-001,zh,manifest
64,review-case-467ce9650cd67ad63c71,CAP-EXTERNALEXEC-001,question:review-case-467ce9650cd67ad63c71:CAP-EXTERNALEXEC-001,en,manifest
65,review-case-4c3da342e066e0a8ebbd,CAP-EXTERNALPRIVILEGED-001,question:review-case-4c3da342e066e0a8ebbd:CAP-EXTERNALPRIVILEGED-001,en,manifest
66,review-case-7aaab41e3acb2a4310f0,CAP-EXTERNALPRIVILEGED-001,question:review-case-7aaab41e3acb2a4310f0:CAP-EXTERNALPRIVILEGED-001,en,json
67,review-case-ca21dccd037d1aa8f368,CAP-EXTERNALUNVERIFIED-001,question:review-case-ca21dccd037d1aa8f368:CAP-EXTERNALUNVERIFIED-001,zh,manifest
68,review-case-9a7f293fb5d5ee11bfc2,CAP-EXTERNALUNVERIFIED-001,question:review-case-9a7f293fb5d5ee11bfc2:CAP-EXTERNALUNVERIFIED-001,en,manifest
69,review-case-a8420a9e27348619997a,CAP-EXTERNALWRITE-001,question:review-case-a8420a9e27348619997a:CAP-EXTERNALWRITE-001,en,manifest
70,review-case-df393e0705b331767408,CAP-EXTERNALWRITE-001,question:review-case-df393e0705b331767408:CAP-EXTERNALWRITE-001,zh,manifest
71,review-case-290357f483e8538451a6,CAP-MEMORYNETWORK-001,question:review-case-290357f483e8538451a6:CAP-MEMORYNETWORK-001,zh,manifest
72,review-case-7d4ea4e79176880b3fd3,CAP-MEMORYNETWORK-001,question:review-case-7d4ea4e79176880b3fd3:CAP-MEMORYNETWORK-001,en,manifest
73,review-case-57fdc60d7a4e54964af0,CAP-MEMORYPROD-001,question:review-case-57fdc60d7a4e54964af0:CAP-MEMORYPROD-001,en,manifest
74,review-case-c6d0296737c0ad0c6c4f,CAP-MEMORYPROD-001,question:review-case-c6d0296737c0ad0c6c4f:CAP-MEMORYPROD-001,zh,manifest
75,review-case-53d5d170ab221053f19b,CAP-MEMORYSECRET-001,question:review-case-53d5d170ab221053f19b:CAP-MEMORYSECRET-001,zh,manifest
76,review-case-dbb5f8d043d6514d15d3,CAP-MEMORYSECRET-001,question:review-case-dbb5f8d043d6514d15d3:CAP-MEMORYSECRET-001,en,manifest
77,review-case-2111d24353518d260697,CAP-NONETWORKPOLICY-001,question:review-case-2111d24353518d260697:CAP-NONETWORKPOLICY-001,en,manifest
78,review-case-b963bc7c85d106710ea2,CAP-NONETWORKPOLICY-001,question:review-case-b963bc7c85d106710ea2:CAP-NONETWORKPOLICY-001,zh,manifest
79,review-case-620a8e2f1b6e8ac131c8,CAP-NOSANDBOX-001,question:review-case-620a8e2f1b6e8ac131c8:CAP-NOSANDBOX-001,zh,manifest
80,review-case-e03c420be8e5839950fc,CAP-NOSANDBOX-001,question:review-case-e03c420be8e5839950fc:CAP-NOSANDBOX-001,en,manifest
81,review-case-1b6bda839ba9759bc419,CAP-NOSECRET-001,question:review-case-1b6bda839ba9759bc419:CAP-NOSECRET-001,en,manifest
82,review-case-fa734e3d64b31ae9805c,CAP-NOSECRET-001,question:review-case-fa734e3d64b31ae9805c:CAP-NOSECRET-001,zh,manifest
83,review-case-0e02e61f3e9f4e16b816,CAP-PERSIST-001,question:review-case-0e02e61f3e9f4e16b816:CAP-PERSIST-001,zh,manifest
84,review-case-c9c921940c31265e02a0,CAP-PERSIST-001,question:review-case-c9c921940c31265e02a0:CAP-PERSIST-001,en,manifest
85,review-case-6268e2f9d5edaf040a46,CAP-PRODADMIN-001,question:review-case-6268e2f9d5edaf040a46:CAP-PRODADMIN-001,zh,json
